Eco Party Mearry,1,미래를 위한 착한 디자인. 아름다운가게에서 론칭한 국내 최초 업사이클링 브랜드,"에코파티메아리의 리업라인은 지속가능한 친환경 에코 라이프스타일의 확산과 윤리적가치 소비를 추구하는 심플, 내추럴, 모던 감성의 업사이클 편집샵 브랜드 입니다.  ",brand\EcoPartyMearry.jpg,http://www.beautifulstore.org/upcycling
REBLANK,1,"리블랭크는 버려지고 낭비되는 폐자원을 업사이클링을 통하여 새생명을 부여함으로써 새로운 감성과 가치를 만들고 실천하는 문화,  예술 분야 사회적기업(2009년 제 55호) 입니다.","리블랭크는 버려진 가죽, 타폴린, 원단 등을 활용하여 다시 사용할 수 있도록  쓰임새와 디자인을 연구 합니다.  자연에서 나와 자연으로 돌아감으로써 환경에 해를 끼치지 않는  선순환이 가능한 [       ]를 만드는 것을 목표로 합니다. ",brand\REBLANK1.jpg,http://reblank.cafe24.com/
CUECLYP,1,More Than What You See / 보이는 것 이상의 가치 / Unique & Colorful 라이프스타일,UPCYCLE의 스펠링을 재배열하여 CUECLYP라는 새로운 단어를 만들었습니다. 단어 ‘upcycle’을 업사이클하여 만들어진 CUECLYP는 업사이클에 국한되지 않고 필환경 시대를 반영하여 계기와 이유가 있는 의미있는 디자인을 전개하겠다는 뜻이 담겨있습니다. 로고의 우산 픽토그램은 버려지는 우산의 소생을 표현하는 동시에 구름 위로 해가 뜨는 형상으로 버려지는 다양한 자원들이 다시 부활한다는 두 가지 의미를 가지고 있습니다.,brand\CUECLYP.png,https://cueclyp.com/
ul:kin,1,미술대학 혹은 신진 작가들로 부터 어쩔 수 없이 버려지는 습작을 활용한 업사이클링,"얼킨은 “예술과 대중의 간극을 줄이자.” 라는 브랜드 철학을 기반으로하는 소셜 패션 브랜드라는 DNA가 있습니다. 얼킨을 출범시킨 시그니쳐 아이템은 실제 회화 작품으로 제작하는 업사이클링 가방으로, 주재료로 사용하는 회화 작품은 신진 아티스트들의 버려질 예정의 습작(에스키스)입니다. 얼킨은 예술 문화의 가치를 대중과 공유하고 신진 아티스트들과의 협업을 통해 ‘재능 순환’ 을 실현하기 위해 등장 하였습니다.",brand\ulkin.png,https://ulkin.co.kr/
CONTINEW,1,가방이 된 자동차' 컨티뉴(CONTINEW)를 소개 합니다. 지구의 환경을 생각하는 소비의 가치를 느껴보세요!,"자동차 생산과정과 폐자동차에서 수거한 천연가죽시트, 안전벨트 및 에어백 그리고 해양쓰레기와 버려진 소재들을 업사이클링하여 가방 및 신발, 악세사리 등 다양한 제품을 디자인하고 제작합니다. 환경과 디자인을 동시에 생각하며 자원의 선순환을 돕는 지속가능한 환경 가치를 창출합니다.",brand\CONTINEW.jpg,https://wecontinew.co.kr/
PLEATSMAMA,1,페트병 재활용 원사를 활용한 업사이클링 브랜드, 플리츠마마는 아름답고도 지속 가능한 삶의 방식을 제안하기 위해 2017년 11월에 시작되었습니다. 환경과 자신에 대한 올바른 태도를 지닌 의식 있는 소비자들을 위해 쓰레기가 발생하지 않는 친환경 소재를 사용하여 패셔너블한 제품을 만듭니다.,PLEATSMAMA.jpg,https://pleatsmama.com/
RE;CODE,1,패션 재고를 활용한 업사이클링 브랜드,"레코드는 환경적, 사회적 책임을 다하는 옷을 통해 의식 있는 삶을 실현하도록 돕는 컨셔스 패션 브랜드입니다",brand\RECODE1.png,https://www.kolonmall.com/RECODE
119REO,1,내구연한이 지난 소방복 및 소방장비를 활용한 업사이클링,119REO는 Rescue Each Other로 서로가 서로를 구하는 가치를 만듭니다. 소방관님들이 우리를 구하듯 우리도 함께 소방관을 구하고자 하는 마음을 담았습니다. 영업이익의 50%를 암 투병 소방관 지원 등 소방관 권리 보장에 동참하는 브랜드입니다.,brand\119REO.png,https://www.119reo.com/
ECOUS,2,시작은 에코어스 면생리대로,"에코어스는, 'ECO환경', 'US 우리들'로 환경을 생각하는 사람들이라는 뜻을 가지고 있으며 면생리대, 메밀편백베게, 앞치마, 소창관련 제품 등 실용적인 친환경 제품과 여성 관련 제품 등을 생산,판매하며 일자리를 창출하고 있습니다. ",brand\ECOUS.jpg,https://ecous.co.kr/index.html
arc mind,1,한국의 독특한 간판 문화에서 다량으로 발생하는 자투리 아크릴을 업사이클링,아크릴 마인드는 존재의 의미를 잃어버린 것에 예술을 더하는 아트 스튜디오 입니다,brand\arc mind.jpg,http://www.arcmindstudio.com/
remetome,2,버려지는 호텔 시트를 활용한 업사이클링,지속가능한 가치가 있는 반려동물 용품 브랜드,brand\reme2me.jpg,https://reme2me.com/
noma-j,1,100% 재생 플라스틱 원단을 활용한 친환경 스웜웨어 브랜드,특정한 가치와 삶의 방식에 얽매이지 않고 창조적으로 사는 노마드의 삶을 지향하는 브랜드 노마제이입니다.  노마제이는 자유분방한 드로잉 아트 패턴을 기반으로 패턴 설계부터 사이즈 그레이딩까지 디자이너가 직접 제작하는 친환경 스윔웨어 브랜드입니다. ,brand\noma-j.jpg,https://noma-j.com/index.html
DELIGHTPOOL,1,"우리의 환경을 생각한 폐페트병 리사이클링 소재, 친환경 수영복","DELIGHTPOOL은 delightful의 '-ful'을 Swimming pool의 'pool'로 변환하여, ""기쁨과 즐거움이 공존하는 스위밍 풀""을 뜻합니다. 경쟁 지향적, 퍼포먼스 지향적인 전통적인 스윔웨어 브랜드의 가치와 반대 되는, 즐겁고, 레크리에이셔널한 스윔 라이프를 추구합니다. 데일리 스윔 라이프에 행복함과 즐거움 그리고 딜라잇풀만의 새로운 스타일과 감성을 담은 컬렉션을 제안합니다.",brand\DELIGHTPOOL.jpg,https://delightpool.com/index.html
JUST PROJECT,1,"IT is trash, but treasure to me","쓰레기를 편애하고 수집하며, 쓰레기로 일상의 물건을 만듭니다. 요즘은 쓰레기를 소재로서 진지하게 연구하고 있습니다",brand\JUSTPROJECT.png,http://just-project.com/
손끋비,2,기분좋은불편함. 손끋비,"도시에서 자라고 항상 더 지속 가능하도록 노력하면서 일회용포장지, 플라스틱용기 용기 대체 제품인 자연포장지에 대한 대안을 연구하였습니다.  일회용 포장지를 대체하기 위해 만든 '밀랍랩','밀랍백'은 국내 벌통에서 채취 한 밀랍을 기반으로 한 오일을 듬뿍 면원단에 적신 다회용 천연 랩,가방 형태 제품입니다.",brand\손끋비.jpg,http://sonkkeutbee.co.kr/
grape lab,2,지속 가능한 삶을 디자인하는 그레이프랩,그레이프랩은 환경과 사회문제를 디자이너의 관점에서 바라보고 다양한 실험을 통해 그 해결책을 제시하는 디자인 스튜디오입니다.  버려지는 자원과 우리 사회의 소외된 계층과 관련한 문제를 해결하기 위해 최소한의 자원과 적정 기술을 활용해 지속가능한 디자인 제품을 개발하고 있습니다.,brand\grape lab.jpeg,https://thegrapelab.org/kr/
PAPER POP,2,일상의 물건을 종이로 만듭니다,페이퍼팝은 한 두해 쓰고 버려지는 가구 폐기물을 줄이기 위한 대안으로 분리배출이 용이하고 재활용될 수 있는 종이로 다양한 일상의 물건을 만듭니다,brand\PAPER POP.jpg,https://www.paperpop.co.kr/
KANEI TEI,1,"군용 텐트를 재활용, 역사가 담긴 친환경 의류, 업사이클링 라이프 스타일 제품을 만듭니다.",획일적인 공산품 홍수 속에서 우리는   폐원단을 직접 수집하고 가공해서 제품을 만듭니다.   오늘날 인류가 느끼는 멸종에 대한 위기감 안에서   카네이테이는 DIY 정신을 계승하여   무분별한 산업화에 저항합니다. ,brand\KANEI TEI.jpg,https://www.kaneitei.com/
OVER L ab.,1,OVER 그 이상의 것을 연구하는 LAB.연구실,"오버랩은 수명이 다한 레저스포츠 소재를 업사이클링하는 패션 브랜드입니다. 소비자, 공급자 제작자가 함께 선순환 구조를 만들고, 자연과 함께 하는 레저스포츠가 환경을 파괴하는 아이러니를 해결하고자 방안을 제시합니다. 액티비티의 동적이고 즐거운 경험이 오버랩의 제품을 사용하면서도 이어지길 바라며, 친환경과 업사이클링도 어려운 것이 아니라 즐거운 것이라는 인식을 소비자에게 심어주고자 합니다",brand\overlab.png,https://www.overlab.kr/
TOUN28,3,변하지 않는 가치  사람과 환경에 유익한 건강한 아름다움을 위해 행동합니다.,"친환경을 넘어 필(必)환경의 시대, 톤28이 사람을 그리고 환경을 위한 행동에 한 걸음을 더 내딛습니다. 전 세계에서 가장 활발하게 활동하고 있는 가장 오래된 VEGAN 조직 영국 비건 협회(The Vegan Society)의 꼼꼼하고 엄격한 심사를 거쳐 톤28은 약 20여 개 제품에 대해 The Vegan Society 인증을 획득하였습니다. Vegan 인증 제품은 육류, 어류, 꿀, 달걀, 유제품을 포함한 동물 또는 동물유래 원료를 사용하지 않으며 ",brand\TOUN28.jpg,https://toun28.com/
예고은삼베,2,"자연에서 와서 자연으로 돌아가는 삼베. 내몸과 지구에 더 유리한 섬유. 독창적인 삼베 생활용품과 의류, 이불을 만듭니다. 제로웨이스트샵 예고은삼베입니다.","우리나라는 전통적으로 삼베를 이용해 옷을 지어 입었고 생활 곳곳에서 사용했습니다. 순식물성 섬유이자 항균, 항독성이 탁월하며 수분흡수율이 좋고 내구성까지 좋은 삼베. 해로운 물질이 섞이지 않은 천연기능성 섬유입니다. 재배시 농약이 필요하지 않고 재배면적 효율이 좋아 우리에게, 지구에게 모두 이로운 삼베. 삼베의 가능성은 끝이 없습니다. 예고은삼베는 한국 고유의 전통을 살리면서도 실용성을 더해 다양한 삼베제품을 만듭니다. 삼베는 선조들이 전해준 오래된 미",brand\예고은삼베.jpg,https://sambe.co.kr/
루파나무,2,천연수세미전문 루파나무,"산업혁명 이후, 현대사회는 각종 물질이 범람하는 세상이 되었습니다.    어느덧 플라스틱과 비닐은 우리에게 없어서는 안되는 생활밀접 필수품입니다.      하지만 플라스틱과 비닐이 세상에서 분해되어 사라지기 까지는 100년 이상의 시간이 걸립니다.    내가 태어나 사용한 플라스틱과 비닐은 미세플라스틱으로 쪼개지거나 아직 사라지지 않았습니다.    토양 혹은 바다 등 자연 곳곳에 남아, 더러는 동물들에게 고통을 주기도 합니다.      이제는 단순히 물",brand\루파나무.jpg,http://www.luffa.co.kr/main/index
꽃마리,2,지구와 사람 모두를 위한 제주 친환경 세제 기업,"꽃마리는 합성계면활성제를 사용하지 않고, 식물성 오일을 비누화해서 만드는 순비누공법으로 생태적인 세제를 만듭니다",brand\꽃마리.jpg,https://flowermari.net/
PLAY31,2,모두가 함께하는 놀이터 PLAY31,"플레이31은 하나뿐인 지구를 지키는 친환경 장난감과 에듀플레이 콘텐츠를 만듭니다.  지구를 위한 그린플레이 콘텐츠를 중심으로 다양성과 포용성에 대한 이야기를 놀이도구에 담아   아이의 작고 예쁜 손에 선물합니다.     또한, 폐자원을 새활용한 핸즈 온 키트와 마이크로러닝 콘텐츠를 개발하여    아동의 눈높이에 맞는 친환경 놀이와 탄소중립 교육을 보급하고 있습니다.   플레이31은 미래를 바꾸는 '놀이의 힘'을 믿습니다. ",brand\PLAY31.png,https://play31design.com/
AROMATICA,3,아로마테라피의 정수를 담아 건강한 아름다움을 표방하는 지속가능한 뷰티&라이프 브랜드,"피부도 살리고 지구도 살리는, 아로마티카  우리는 생명과 환경을 지키는 지속가능하고 효과적인 제품을 만들고, 지구 환경을 온전한 상태로 되돌리기 위해 환경 보전과 복원에 적극적으로 나섭니다.",brand\AROMATICA.jpg,https://aromatica.co.kr/
당신의 식탁,2,"정직한 원료, 건강한 그릇. 비건도자기 당신의식탁","동물뼈, 4대중금속(납,비소,카드뮴,수은),인공색소, 유해화학물질을 첨가하지 않는 비건도자기    만들다가 깨지면 수선을 해주는 도자기    오래토록 사용할수 있었으면 합니다.    정성껏 만들겠습니다.",brand\당신의식탁.png,https://yourdiningtable.kr/
sanger,2,"천연재료로 더 건강하고 안락하게, 친환경 독일 천연고무핫팩",독일에 본사를 두고 있는 생어는 자연과 생태계의 관심을 갖고 다가오는 다음 세대들을 위해 생분해가 가능한 원료를 개발해 지속 가능성을 추구하는 건강한 친환경적 기업입니다. 나무로부터 추출한 라텍스는 고무로 가공되며 Sanger Hot Water Bottles의 주원료입니다,brand\sanger.jpg,http://sanger.co.kr/main/index
Dr.NOAH,2,당신의 오랄 케어를 바꿉니다,닥터노아는 매일 쓰는 오랄 케어 제품에서 플라스틱을 대체할 수 있는 친환경적 대안을 마련합니다,brand\닥터노아.png,https://www.doctornoah.net/
have a Hemp,2,ECO FRIENDLY. 미국과 유럽인들이 선호하는 헴프타월은 자체 향균기능과 소취기능을 가진 친환경 천연섬,"자체항균이 되는 천연섬유, 기왕이면 친환경이면 좋겠습니다. 잘 닦기고 잘 마르는 것은 기본이고, 여러 번 사용해도 세균이 번식하지 않으면 좋겠습니다. 아기들은 자외선차단제를 바르기 쉽지 않은데, 야외에서는 자외선차단도 되면 좋겠습니다.  어쩌면, 헴프타월이 우리의 이런 고민을, 걱정을 해결해 줄 것 입니다!",brand\have a Hemp.jpg,http://hemptowel.co.kr/
동구밭,2,동구밭은 프랑스 이브비건 인증과 미국 농무부 USDA 유기농 인증을 최초로 동시에 받은 화장품 제조사입니다,동구밭은 발달장애인 문제를 해결하는 소셜벤처입니다. 우리는 발달장애인과 비장애인이 함께 탄탄한 팀워크를 보여주는 동구밭 팩토리에서 액상제품보다 나은 고체화장품을 제조판매하며 발달장애인과 비장애인이 공존하는 튼튼한 사회를 만들고자 합니다.,brand\동구밭.jpg,https://donggubat.com/
The Humble Co.,2,스웨덴에서 시작된 The Humble Co,험블 브러쉬는 일반 플라스틱 칫솔을 대체할 수 있는 분명한 대안입니다. 스웨덴 치과 전문의가 개발한 험블 브러쉬는 일반 칫솔과 기능면에서 어떠한 차이도 없습니다,brand\The Humble Co.jpg,https://www.thehumble.co.kr/
H!cycle,2,'일상에 따뜻한 관심'을 지향하는 업사이클 기업 하이사이클,"커피자루와 호텔린넨을 업사이클링하여 탄소중립을 실천하는 브랜드,HiCYCLE (하이사이클)",brand\하이사이클.png,http://hicycle.co.kr/
SoWhat,1,입는 사람의 가치를 먼저 생각하는 여성복 브랜드 쏘왓입니다,"당연한 것을 당연하게 하는 패션'  면을 가공하며 생산되는 수천톤의 폐수, 썩지 않는 합성소재 의류들, 가죽을 얻기 위해 무분별하게 길러지는 가축들과 그의 분뇨.  패션은 아주 오랫동안 조용히 환경에 악영향을 끼쳐왔습니다.  패스트패션에 익숙한 세상을 슬로우하고 지속가능한 패션으로 바꾸기 위해 쏘왓이 앞장서서 변화를 만들어 내겠습니다",brand\SoWhat.jpg,https://sowhaat.com/
Milky Project,1,"지구친화, 사회친화, 사람친화","밀키프로젝트는, 쓰임이 다한 물건에서 숨은 가치를 찾아내고, 디자인과 아이디어를 더해서, 새롭게 가치 있는 물건 및 콘텐츠로 개발하여, 그것을 사람들과 공유하고 공감을 넓혀가는 활동을 하고 있습니다. 특히, 우유팩이 가지는 다양한 특징과 매력에 주목하고 그것을 활용하여 새로운 형태의 업사이클링 패션잡화를 개발하고 있으며, 다양한 형태의 문화콘텐츠 및 교육프로그램 개발에도 힘을 쏟고 있습니다.",brand\밀키프로젝트.jpg,http://www.milkyproject.com/
